[2022-02-25 00:00:02] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 00:00:02] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 00:00:02] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 00:00:02] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 00:00:02] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 01:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 01:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 01:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 01:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 01:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 02:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 02:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 02:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 02:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 02:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 03:00:02] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 03:00:02] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 03:00:02] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 03:00:02] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 03:00:02] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 04:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 04:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 04:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 04:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 04:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 05:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 05:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 05:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 05:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 05:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 06:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 06:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 06:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 06:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 06:00:02] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 07:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 07:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 07:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 07:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 07:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 08:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 08:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 08:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 08:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 08:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 09:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 09:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 09:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 09:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 09:00:02] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 10:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 10:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 10:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 10:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 10:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 11:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 11:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 11:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 11:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 11:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 12:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 12:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 12:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 12:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 12:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 13:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 13:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 13:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 13:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 13:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 14:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 14:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 14:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 14:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 14:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 15:00:02] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 15:00:02] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 15:00:02] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 15:00:02] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 15:00:02] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 16:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 16:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 16:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 16:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 16:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 17:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 17:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 17:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 17:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 17:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 18:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 18:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 18:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 18:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 18:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 19:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 19:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 19:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 19:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 19:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 20:00:03] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 20:00:03] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 20:00:03] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 20:00:03] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 20:00:03] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 21:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 21:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 21:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 21:00:02] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 21:00:02] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 22:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 22:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 22:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 22:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 22:00:01] | delete_30days_old_logs | Error in SQL Query execution
[2022-02-25 23:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/log.
[2022-02-25 23:00:01] | delete_30days_old_logs | 30 Days Old Logs Are Deleted.
[2022-02-25 23:00:01] | delete_30days_old_logs | Directory Sucessfully Changed To /opt/ontology/scripts/serviceview_json/backup.
[2022-02-25 23:00:01] | delete_30days_old_logs | 30 Days Old Backup Are Deleted.
[2022-02-25 23:00:01] | delete_30days_old_logs | Error in SQL Query execution
