[2022-02-25 00:30:01] | serviceview_json_create | Script Execution Started
[2022-02-25 00:30:01] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 1 Times
[2022-02-25 00:35:01] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 2 Times
[2022-02-25 00:40:01] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 3 Times
[2022-02-25 00:45:02] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 4 Times
[2022-02-25 00:50:02] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 5 Times
[2022-02-25 00:55:02] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 6 Times
[2022-02-25 01:00:02] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 7 Times
[2022-02-25 01:05:02] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 8 Times
[2022-02-25 01:10:02] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 9 Times
[2022-02-25 01:15:02] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 10 Times
[2022-02-25 01:20:03] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 11 Times
[2022-02-25 01:25:03] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 12 Times
[2022-02-25 01:30:03] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 13 Times
[2022-02-25 01:35:03] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 14 Times
[2022-02-25 01:40:03] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 15 Times
[2022-02-25 01:45:03] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 16 Times
[2022-02-25 01:50:03] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 17 Times
[2022-02-25 01:55:04] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 18 Times
[2022-02-25 02:00:04] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 19 Times
[2022-02-25 02:05:04] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 20 Times
[2022-02-25 02:10:04] | serviceview_json_create | waiting for DAILY_TABLE_REFRESH to complete, going for sleep 21 Times
